Question,Label
What are some key AWS services for data analytics?,AWS Documentation
What are some key AWS services for machine learning?,AWS Documentation
How does AWS support hybrid cloud deployments?,AWS Documentation
What are best practices for migrating to AWS?,AWS Documentation
What are some challenges when using AWS?,AWS Documentation
How does AWS pricing work?,AWS Documentation
What are reserved instances in AWS?,AWS Documentation
What is the AWS free tier?,AWS Documentation
What is the AWS CLI?,AWS Documentation
What SDKs are available for AWS?,AWS Documentation
What automation tools can be used with AWS?,AWS Documentation
What is Amazon EC2?",AWS Documentation
What is Amazon S3?,AWS Documentation
What is Amazon RDS?,AWS Documentation
What is Amazon DynamoDB?,AWS Documentation
What is Amazon EBS?,AWS Documentation
What is Amazon EMR?,AWS Documentation
What is AWS Lambda?,AWS Documentation
What is AWS Fargate?,AWS Documentation
What is Amazon API Gateway?,AWS Documentation
What is AWS CloudFormation?,AWS Documentation
What is Amazon CloudFront?,AWS Documentation
What is Amazon CloudWatch?,AWS Documentation
What is AWS Auto Scaling?,AWS Documentation
What is Amazon VPC?,AWS Documentation
What is Amazon Route 53?,AWS Documentation
What is AWS Direct Connect?,AWS Documentation
What is Amazon WorkSpaces?,AWS Documentation
What is AWS Elastic Beanstalk?,AWS Documentation
What is Amazon Lightsail?,AWS Documentation
What is AWS Batch?,AWS Documentation
What is AWS OpsWorks?,AWS Documentation
What is AWS Snowball?,AWS Documentation
What is Amazon MQ?,AWS Documentation
What is Amazon Athena?,AWS Documentation
What is Amazon QuickSight?,AWS Documentation
What is AWS Glue?,AWS Documentation
What is Amazon Kinesis?,AWS Documentation
What is Amazon SageMaker?,AWS Documentation
What is Amazon Lex?,AWS Documentation
What is Amazon Polly?,AWS Documentation
What is Amazon Rekognition?,AWS Documentation
What is Amazon Transcribe?,AWS Documentation
What is Amazon Translate?,AWS Documentation
What is Amazon Comprehend?,AWS Documentation
What is Amazon Macie?,AWS Documentation
What is AWS Security Hub?,AWS Documentation
What is AWS Shield?,AWS Documentation
What is AWS WAF?,AWS Documentation
What is Amazon GuardDuty?,AWS Documentation
What is AWS Certificate Manager?,AWS Documentation
What is AWS CloudTrail?,AWS Documentation
What is Amazon Inspector?,AWS Documentation
What is AWS Config?,AWS Documentation
What is AWS Secrets Manager?,AWS Documentation
What is AWS Systems Manager?,AWS Documentation
What is AWS Trusted Advisor?,AWS Documentation
What is Amazon SNS?,AWS Documentation
What is Amazon SQS?,AWS Documentation
What is Amazon SES?,AWS Documentation
What is AWS Step Functions?,AWS Documentation
What is Amazon Cognito?,AWS Documentation
What is Amazon Pinpoint?,AWS Documentation
What is AWS IoT Core?,AWS Documentation
What is AWS IoT Analytics?,AWS Documentation
What is AWS IoT Device Management?,AWS Documentation
What is AWS IoT Device Defender?,AWS Documentation
What is AWS IoT 1-Click?,AWS Documentation
What is AWS IoT Events?,AWS Documentation
What is AWS IoT Greengrass?,AWS Documentation
What is AWS IoT Sitewise?,AWS Documentation
What is AWS IoT Things Graph?,AWS Documentation
What is Amazon Managed Blockchain?,AWS Documentation
What is Amazon Quantum Ledger Database (QLDB)?,AWS Documentation
What is Amazon Timestream?,AWS Documentation
What is Amazon DocumentDB?,AWS Documentation
What is Amazon Neptune?,AWS Documentation
What is Amazon ElastiCache?,AWS Documentation
What is Amazon Redshift?,AWS Documentation
What is AWS Database Migration Service?,AWS Documentation
What is AWS Glue DataBrew?,AWS Documentation
What is AWS Lake Formation?,AWS Documentation
What is Amazon Elasticsearch Service?,AWS Documentation
What is Amazon CloudSearch?,AWS Documentation
What is AWS Data Pipeline?,AWS Documentation
What is AWS AppSync?,AWS Documentation
What is AWS Step Functions?,AWS Documentation
What are AWS Storage Gateway options?,AWS Documentation
What is Amazon WorkDocs?,AWS Documentation
What is Amazon WorkMail?,AWS Documentation
What is Amazon Chime?,AWS Documentation
What is Amazon Connect?,AWS Documentation
What is Amazon Pinpoint?,AWS Documentation
What is Amazon Simple Workflow Service (SWF)?,AWS Documentation
What is AWS Transfer for SFTP?,AWS Documentation
What is AWS Snowball Edge?,AWS Documentation
What is AWS Snowmobile?,AWS Documentation
What is VM Import/Export?,AWS Documentation
What is AWS Application Discovery Service?,AWS Documentation
What is AWS X-Ray?,AWS Documentation
What is Amazon Sumerian?,AWS Documentation
What is Amazon AppStream 2.0?,AWS Documentation
What is Amazon WorkSpaces?,AWS Documentation
What are AWS Serverless Application Repository options?,AWS Documentation
What is AWS CodeStar?,AWS Documentation
What is AWS CodeCommit?,AWS Documentation
What is AWS CodeBuild?,AWS Documentation
What is AWS CodeDeploy?,AWS Documentation
What is AWS CodePipeline?,AWS Documentation
What is AWS Cloud9?,AWS Documentation
What is AWS CloudShell?,AWS Documentation
What are AWS Developer Tools options?,AWS Documentation
What is Amazon Corretto?,AWS Documentation
What is AWS Cloud Development Kit (CDK)?,AWS Documentation
What is AWS CloudFormation?,AWS Documentation
What is AWS Elastic Beanstalk?,AWS Documentation
What is AWS OpsWorks?,AWS Documentation
What is AWS Amplify?,AWS Documentation
What is AWS Service Catalog?,AWS Documentation
What is AWS Well-Architected Tool?,AWS Documentation
What is AWS Trusted Advisor?,AWS Documentation
What are AWS Management Tools options?,AWS Documentation
What is Amazon CloudWatch?,AWS Documentation
What is AWS Auto Scaling?,AWS Documentation
What is Elastic Load Balancing?,AWS Documentation
What is AWS CloudTrail?,AWS Documentation
What is AWS Config?,AWS Documentation
What is AWS Chatbot?,AWS Documentation
What is AWS Command Line Interface (CLI)?,AWS Documentation
What is AWS Console Mobile Application?,AWS Documentation
What are AWS Billing and Cost Management options?,AWS Documentation
What are AWS Resource Access Management options?,AWS Documentation
What is AWS Identity and Access Management (IAM)?,AWS Documentation
What is Amazon Cognito?,AWS Documentation
What is AWS Single Sign-On?,AWS Documentation
What is AWS Directory Service?,AWS Documentation
What is AWS Organizations?,AWS Documentation
What are AWS Analytics options?,AWS Documentation
What is Amazon Athena?,AWS Documentation
What is Amazon EMR?,AWS Documentation
What is Amazon CloudSearch?,AWS Documentation
What is Amazon Elasticsearch Service?,AWS Documentation
What is Amazon Kinesis?,AWS Documentation
What is Amazon Managed Streaming for Apache Kafka?,AWS Documentation
What is Amazon QuickSight?,AWS Documentation
What is AWS Data Pipeline?,AWS Documentation
What is AWS Glue?,AWS Documentation
What is AWS Lake Formation?,AWS Documentation
What are AWS Machine Learning options?,AWS Documentation
What is Amazon SageMaker?,AWS Documentation
What is Amazon Comprehend?,AWS Documentation
What is Amazon Lex?,AWS Documentation
What is Amazon Polly?,AWS Documentation
What is Amazon Rekognition?,AWS Documentation
What is Amazon Transcribe?,AWS Documentation
What is Amazon Translate?,AWS Documentation
What is AWS DeepLens?,AWS Documentation
What is AWS DeepRacer?,AWS Documentation
What are AWS Networking & Content Delivery options?,AWS Documentation
What is Amazon VPC?,AWS Documentation
What are Amazon VPC peering connections?,AWS Documentation
What is AWS Direct Connect?,AWS Documentation
What is Elastic Load Balancing?,AWS Documentation
What is Amazon Route 53?,AWS Documentation
What is Amazon CloudFront?,AWS Documentation
What is AWS PrivateLink?,AWS Documentation
What is AWS App Mesh?,AWS Documentation
What is AWS Cloud Map?,AWS Documentation
What are AWS Media Services options?,AWS Documentation
What is AWS Elemental MediaConvert?,AWS Documentation
What is AWS Elemental MediaLive?,AWS Documentation
What is AWS Elemental MediaPackage?,AWS Documentation
What is AWS Elemental MediaStore?,AWS Documentation
What is AWS Elemental MediaTailor?,AWS Documentation
What are AWS Migration options?,AWS Documentation
What is AWS Migration Hub?,AWS Documentation
What is AWS Application Discovery Service?,AWS Documentation
What is AWS Database Migration Service?,AWS Documentation
What is AWS Server Migration Service?,AWS Documentation
What is AWS Snowball?,AWS Documentation
What is AWS Snowball Edge?,AWS Documentation
What is AWS Snowmobile?,AWS Documentation
What is VM Import/Export?,AWS Documentation
What are AWS Security,AWS Documentation
Identity & Compliance options?,AWS Documentation
What is AWS Identity and Access Management (IAM)?,AWS Documentation
What is Amazon Cognito?,AWS Documentation
What is Amazon GuardDuty?,AWS Documentation
What is Amazon Inspector?,AWS Documentation
What is AWS Certificate Manager?,AWS Documentation
What is AWS CloudHSM?,AWS Documentation
What is AWS Directory Service?,AWS Documentation
What is AWS Firewall Manager?,AWS Documentation
What is AWS Key Management Service?,AWS Documentation
What is AWS Organizations?,AWS Documentation
What is AWS Secrets Manager?,AWS Documentation
What is AWS Security Hub?,AWS Documentation
What is AWS Shield?,AWS Documentation
What is AWS Single Sign-On?,AWS Documentation
What is AWS WAF?,AWS Documentation
What is AWS Artifact?,AWS Documentation
What is AWS Audit Manager?,AWS Documentation
What is AWS Config?,AWS Documentation
What is AWS Control Tower?,AWS Documentation
What is AWS License Manager?,AWS Documentation
What is AWS Macie?,AWS Documentation
What is AWS Systems Manager Incident Manager?,AWS Documentation
What are AWS Storage options?,AWS Documentation
What is Amazon S3?,AWS Documentation
What is Amazon EBS?,AWS Documentation
What is Amazon EC2 Instance Store?,AWS Documentation
What is Amazon EFS?,AWS Documentation
What is Amazon FSx?,AWS Documentation
What is Amazon S3 Glacier?,AWS Documentation
What is AWS Backup?,AWS Documentation
What is AWS Snowball Edge Storage Optimized?,AWS Documentation
What is AWS Storage Gateway?,AWS Documentation
What are AWS Database options?,AWS Documentation
What is Amazon Aurora?,AWS Documentation
What is Amazon DynamoDB?,AWS Documentation
What is Amazon ElastiCache?,AWS Documentation
What is Amazon Neptune?,AWS Documentation
What is Amazon Quantum Ledger Database (QLDB)?,AWS Documentation
What is Amazon RDS?,AWS Documentation
What is Amazon Redshift?,AWS Documentation
What is Amazon Timestream?,AWS Documentation
What is AWS Database Migration Service?,AWS Documentation
What are AWS Analytics options?,AWS Documentation
What is Amazon Athena?,AWS Documentation
What is Amazon CloudSearch?,AWS Documentation
What is Amazon Elasticsearch Service?,AWS Documentation
What is Amazon EMR?,AWS Documentation
What is Amazon Kinesis?,AWS Documentation
What is Amazon Managed Streaming for Apache Kafka?,AWS Documentation
What is Amazon QuickSight?,AWS Documentation
What is AWS Data Pipeline?,AWS Documentation
What is AWS Glue?,AWS Documentation
What is AWS Lake Formation?,AWS Documentation
What are AWS Management & Governance options?,AWS Documentation
What is AWS Auto Scaling?,AWS Documentation
What is AWS Chatbot?,AWS Documentation
What is AWS CloudFormation?,AWS Documentation
What is AWS CloudTrail?,AWS Documentation
What is Amazon CloudWatch?,AWS Documentation
What is AWS Command Line Interface?,AWS Documentation
What is AWS Config?,AWS Documentation
What is AWS Control Tower?,AWS Documentation
What is AWS License Manager?,AWS Documentation
What is AWS Managed Services?,AWS Documentation
What is AWS Organizations?,AWS Documentation
What is AWS Personal Health Dashboard?,AWS Documentation
What is AWS Service Catalog?,AWS Documentation
What is AWS Systems Manager?,AWS Documentation
What is AWS Trusted Advisor?,AWS Documentation
What are AWS Media Services options?,AWS Documentation
What is AWS Elemental MediaConvert?,AWS Documentation
What is AWS Elemental MediaLive?,AWS Documentation
What is AWS Elemental MediaPackage?,AWS Documentation
What is AWS Elemental MediaStore?,AWS Documentation
What is AWS Elemental MediaTailor?,AWS Documentation
What are AWS Migration & Transfer options?,AWS Documentation
What is AWS Application Discovery Service?,AWS Documentation
What is AWS Database Migration Service?,AWS Documentation
What is AWS Migration Hub?,AWS Documentation
What is AWS Server Migration Service?,AWS Documentation
What is AWS Snowball?,AWS Documentation
What is AWS Snowball Edge?,AWS Documentation
What is AWS Snowmobile?,AWS Documentation
What is VM Import/Export?,AWS Documentation
What are AWS Networking & Content Delivery options?,AWS Documentation
What is Amazon VPC?,AWS Documentation
What are Amazon VPC peering connections?,AWS Documentation
What is AWS Direct Connect?,AWS Documentation
What is Amazon CloudFront?,AWS Documentation
What is Elastic Load Balancing?,AWS Documentation
What is Amazon Route 53?,AWS Documentation
What is AWS PrivateLink?,AWS Documentation
What is AWS App Mesh?,AWS Documentation
What is AWS Cloud Map?,AWS Documentation
What are AWS Robotic Process Automation options?,AWS Documentation
What is AWS RoboMaker?,AWS Documentation
What are AWS Satellite options?,AWS Documentation
What is AWS Ground Station?,AWS Documentation
What are AWS Blockchain options?,AWS Documentation
What is Amazon Managed Blockchain?,AWS Documentation
What is Amazon Quantum Ledger Database (QLDB)?,AWS Documentation
What are AWS Game Tech options?,AWS Documentation
What is Amazon GameLift?,AWS Documentation
What is Amazon Lumberyard?,AWS Documentation
What are AWS Machine Learning options?,AWS Documentation
What is Amazon SageMaker?,AWS Documentation
What is Amazon Comprehend?,AWS Documentation
What is Amazon Lex?,AWS Documentation
What is Amazon Polly?,AWS Documentation
What is Amazon Rekognition?,AWS Documentation
What is Amazon Transcribe?,AWS Documentation
What is Amazon Translate?,AWS Documentation
What is AWS DeepLens?,AWS Documentation
What is AWS DeepRacer?,AWS Documentation
What are AWS Management & Governance options?,AWS Documentation
What is AWS Auto Scaling?,AWS Documentation
What is AWS Chatbot?,AWS Documentation
What is AWS CloudFormation?,AWS Documentation
What is AWS CloudTrail?,AWS Documentation
What is Amazon CloudWatch?,AWS Documentation
What is AWS Command Line Interface?,AWS Documentation
What is AWS Config?,AWS Documentation
What is AWS Control Tower?,AWS Documentation
What is AWS License Manager?,AWS Documentation
What is AWS Managed Services?,AWS Documentation
What is AWS Organizations?,AWS Documentation
What is AWS Personal Health Dashboard?,AWS Documentation
What is AWS Service Catalog?,AWS Documentation
What is AWS Systems Manager?,AWS Documentation
What is AWS Trusted Advisor?,AWS Documentation
What are AWS Media Services options?,AWS Documentation
What is AWS Elemental MediaConvert?,AWS Documentation
What is AWS Elemental MediaLive?,AWS Documentation
What is AWS Elemental MediaPackage?,AWS Documentation
What is AWS Elemental MediaStore?,AWS Documentation
What is AWS Elemental MediaTailor?,AWS Documentation
What are AWS Migration & Transfer options?,AWS Documentation
What is AWS Application Discovery Service?,AWS Documentation
What is AWS Database Migration Service?,AWS Documentation
What is AWS Migration Hub?,AWS Documentation
What is AWS Server Migration Service?,AWS Documentation
What is AWS Snowball?,AWS Documentation
What is AWS Snowball Edge?,AWS Documentation
What is AWS Snowmobile?,AWS Documentation
What is VM Import/Export?,AWS Documentation
What are AWS Networking & Content Delivery options?,AWS Documentation
What is Amazon VPC?,AWS Documentation
What are Amazon VPC peering connections?,AWS Documentation
What is AWS Direct Connect?,AWS Documentation
What is Amazon CloudFront?,AWS Documentation
What is Elastic Load Balancing?,AWS Documentation
What is Amazon Route 53?,AWS Documentation
What is AWS PrivateLink?,AWS Documentation
What is AWS App Mesh?,AWS Documentation
What is AWS Cloud Map?,AWS Documentation
What are AWS Robotic Process Automation options?,AWS Documentation
What is AWS RoboMaker?,AWS Documentation
What are AWS Satellite options?,AWS Documentation
What is AWS Ground Station?,AWS Documentation
What are AWS Blockchain options?,AWS Documentation
What is Amazon Managed Blockchain?,AWS Documentation
What is Amazon Quantum Ledger Database (QLDB)?,AWS Documentation
What are AWS Game Tech options?,AWS Documentation
What is Amazon GameLift?,AWS Documentation
What is Amazon Lumberyard?,AWS Documentation
What are AWS Machine Learning options?,AWS Documentation
What is Amazon SageMaker?,AWS Documentation
What is Amazon Comprehend?,AWS Documentation
What is Amazon Lex?,AWS Documentation
What is Amazon Polly?,AWS Documentation
What is Amazon Rekognition?,AWS Documentation
What is Amazon Transcribe?,AWS Documentation
What is Amazon Translate?,AWS Documentation
What is AWS DeepLens?,AWS Documentation
What is AWS DeepRacer?,AWS Documentation
Who is Harry Potter's best friend?,Harry Potter
What is the name of Harry's owl?,Harry Potter
What house is Harry Potter sorted into?,Harry Potter
Who gave Harry his lightning bolt scar?,Harry Potter
What sport does Harry play at Hogwarts?,Harry Potter
What is the name of the wizard prison?,Harry Potter
Who is the headmaster of Hogwarts for most of the series?,Harry Potter
What magical item allows Harry to become invisible?,Harry Potter
Who teaches potions at Hogwarts?,Harry Potter
What magical creatures pull the carriages that bring students to Hogwarts?,Harry Potter
What is the name of Hagrid's giant three-headed dog?,Harry Potter
Who teaches Defense Against the Dark Arts in Harry's first year?,Harry Potter
What is the name of Draco Malfoy's father?,Harry Potter
Who teaches Transfiguration at Hogwarts?,Harry Potter
What creature lives in the Chamber of Secrets?,Harry Potter
What magical plant strangles anyone who comes near it?,Harry Potter
What is the name of the Weasley family home?,Harry Potter
Who is the author of Fantastic Beasts and Where to Find Them?,Harry Potter
What is the name of the wizarding sport with four balls?,Harry Potter
What is the incantation for the levitation charm?,Harry Potter
What potion allows the drinker to transform into another person?,Harry Potter
What is the name of the wizarding school in France?,Harry Potter
What is the name of the wizarding school in Bulgaria?,Harry Potter
What is the name of the main wizarding newspaper?,Harry Potter
What is the name of Ron's pet rat?,Harry Potter
Who kills Cedric Diggory?,Harry Potter
What spell does Harry use to defeat the basilisk?,Harry Potter
Who teaches Divination at Hogwarts?,Harry Potter
What is the name of the wizarding candy that allows you to float?,Harry Potter
What is the name of the wizarding bank run by goblins?,Harry Potter
What is the name of Voldemort's snake?,Harry Potter
What is the name of Harry's cousin?,Harry Potter
What is the name of the wizarding hospital?,Harry Potter
What is the name of the wizarding radio program?,Harry Potter
What is the name of the wizarding governing body?,Harry Potter
What is the name of the wizarding prison in North America?,Harry Potter
What is the name of the house elf who tries to save Harry's life?,Harry Potter
What is the name of the village near Hogwarts?,Harry Potter
What is the name of the potion that forces the drinker to tell the truth?,Harry Potter
What is the name of the secret organization founded by Dumbledore?,Harry Potter
What is the name of the wizarding school in Africa?,Harry Potter
What is the name of the wizarding school in Asia?,Harry Potter
What is the name of the wizarding school in South America?,Harry Potter
What is the name of the wizarding school in North America?,Harry Potter
What is the name of the wizard sport played on broomsticks?,Harry Potter
What is the name of the device that reverses time so Hermione can take extra classes?,Harry Potter
What is the name of the magical map that shows everyone at Hogwarts?,Harry Potter
What is the name of the potion that makes the drinker unlucky?,Harry Potter
What is the name of the room that becomes whatever you need it to be?,Harry Potter
What is the name of the spell that conjures a Patronus?,Harry Potter
What is the name of the spell that disarms your opponent?,Harry Potter
What is the name of the spell that makes objects fly?,Harry Potter
What is the name of the spell that opens locks?,Harry Potter
What is the name of the spell that conjures water?,Harry Potter
What is the name of the spell that mends objects?,Harry Potter
What is the name of the spell that creates light from your wand?,Harry Potter
What is the name of the spell that reveals hidden things?,Harry Potter
What is the name of the spell that makes objects levitate?,Harry Potter
What is the name of the spell that heals minor injuries?,Harry Potter
What is the name of the spell that conjures fire?,Harry Potter
What is the name of the spell that erases memories?,Harry Potter
What is the name of the spell that stops or slows moving objects?,Harry Potter
What is the name of the spell that conjures ropes?,Harry Potter
What is the name of the spell that turns objects into animals?,Harry Potter
What is the name of the spell that conjures a protective shield?,Harry Potter
What is the name of the spell that makes people dance uncontrollably?,Harry Potter
What is the name of the spell that causes intense pain?,Harry Potter
What is the name of the spell that kills people instantly?,Harry Potter
What is the name of the spell that tortures people by controlling them like a puppet?,Harry Potter
What is the name of the spell that causes cuts on the opponent's body?,Harry Potter
What is the name of the spell that conjures a snake?,Harry Potter
What is the name of the spell that conjures a flock of birds to attack?,Harry Potter
What is the name of the spell that makes things grow rapidly?,Harry Potter
What is the name of the spell that conjures wind?,Harry Potter
What is the name of the spell that conjures sleep?,Harry Potter
What is the name of the spell that conjures silence?,Harry Potter
What is the name of the spell that conjures fireworks?,Harry Potter
What is the name of the spell that conjures water bubbles?,Harry Potter
What is the name of the spell that conjures flowers?,Harry Potter
What is the name of the spell that conjures butterflies?,Harry Potter
What is the name of the spell that conjures birds?,Harry Potter
What is the name of the spell that conjures rainbows?,Harry Potter
Who is Harry Potter's best friend?",Harry Potter
What is the name of Harry's owl?,Harry Potter
What house is Harry Potter sorted into?,Harry Potter
Who gave Harry his lightning bolt scar?,Harry Potter
What sport does Harry play at Hogwarts?,Harry Potter
What is the name of the wizard prison?,Harry Potter
Who is the headmaster of Hogwarts for most of the series?,Harry Potter
What magical item allows Harry to become invisible?,Harry Potter
Who teaches Potions at Hogwarts?,Harry Potter
What magical creatures pull the carriages that bring students to Hogwarts?,Harry Potter
What is the name of Hagrid's giant three-headed dog?,Harry Potter
What is the name of the wizard bank run by goblins?,Harry Potter
Who teaches Transfiguration at Hogwarts?,Harry Potter
What is the name of Voldemort's snake?,Harry Potter
What is the name of the evil wizard who killed Harry's parents?,Harry Potter
What is the name of Ron's pet rat?,Harry Potter
Who teaches Defense Against the Dark Arts in Harry's first year?,Harry Potter
What is the name of Harry's cousin?,Harry Potter
What is the name of the wizard sport played on broomsticks?,Harry Potter
What is the name of the Hogwarts poltergeist?,Harry Potter
What is the name of Hagrid's baby dragon?,Harry Potter
What is the name of the enchanted car the Weasleys own?,Harry Potter
What is the name of the wizarding school in France?,Harry Potter
What is the name of the wizarding school in Bulgaria?,Harry Potter
What is the name of the wizarding school in America?,Harry Potter
What is the name of the wizarding newspaper?,Harry Potter
What is the name of the Weasley family home?,Harry Potter
What is the name of the secret organization founded by Dumbledore?,Harry Potter
What is the name of Dumbledore's phoenix?,Harry Potter
What is the name of the magical tent Harry,Harry Potter
Ron and Hermione use while on the run?,Harry Potter
What is the name of the love potion Romilda Vane tries to give to Harry?,Harry Potter
What is the name of Neville Longbottom's pet toad?,Harry Potter
What is the name of the Yule Ball dance partner Harry regrets asking?,Harry Potter
What is the name of the wizard rock band at Bill and Fleur's wedding?,Harry Potter
What is the name of Harry's godfather?,Harry Potter
What is the name of the Death Eater who killed Sirius Black?,Harry Potter
What is the name of the Hogwarts house-elf who tries to save Harry's life?,Harry Potter
What is the name of the centaur who lives in the Forbidden Forest?,Harry Potter
What is the name of the Hogwarts ghost who teaches History of Magic?,Harry Potter
What is the name of the magical room that becomes whatever you need it to be?,Harry Potter
What is the name of the enchanted mirror that shows your heart's desire?,Harry Potter
What is the name of the village near Hogwarts?,Harry Potter
What is the name of the Hogwarts founder associated with Slytherin house?,Harry Potter
What is the name of the Hogwarts founder associated with Gryffindor house?,Harry Potter
What is the name of the Hogwarts founder associated with Ravenclaw house?,Harry Potter
What is the name of the Hogwarts founder associated with Hufflepuff house?,Harry Potter
What is the name of Harry's mother?,Harry Potter
What is the name of Harry's father?,Harry Potter
What is the name of Ron's younger sister?,Harry Potter
What is the name of Hermione's cat?,Harry Potter
What is the name of Hagrid's giant half-brother?,Harry Potter
What is the name of Neville's grandmother?,Harry Potter
What is the name of the Hogwarts caretaker and his cat?,Harry Potter
What is the name of the Hogwarts herbology professor?,Harry Potter
What is the name of the Hogwarts potions master before Snape?,Harry Potter
What is the name of the wizard family the Weasleys dislike?,Harry Potter
What is the name of the Hogwarts divination professor?,Harry Potter
What is the name of the wizard who falsely imprisoned Sirius in Azkaban?,Harry Potter
What is the name of the Hogwarts charms professor?,Harry Potter
What is the name of the Hogwarts astronomy professor?,Harry Potter
What is the name of the Hogwarts arithmancy professor?,Harry Potter
What is the name of the Hogwarts study of ancient runes professor?,Harry Potter
What is the name of Hagrid's giant spider friend?,Harry Potter
What is the name of the Hogwarts gamekeeper before Hagrid?,Harry Potter
What is the name of the Hogwarts muggle studies professor?,Harry Potter
What is the name of the Hogwarts care of magical creatures professor before Hagrid?,Harry Potter
What is the name of the Hogwarts flying instructor?,Harry Potter
What is the name of the Hogwarts librarian?,Harry Potter
What is the name of the Hogwarts nurse?,Harry Potter
What is the name of the Hogwarts sorting hat?,Harry Potter
What is the name of the Hogwarts headmaster before Dumbledore?,Harry Potter
What is the name of the wizard prison guard?,Harry Potter
What is the name of the Hogwarts potions master after Snape?,Harry Potter
What is the name of the Death Eater who impersonated Mad-Eye Moody?,Harry Potter
What is the name of the Hogwarts defense against the dark arts professor in Harry's second year?,Harry Potter
What is the name of the centaur professor at Hogwarts?,Harry Potter
What is the name of the Hogwarts muggle studies professor after Quirrell leaves?,Harry Potter
What is the name of Ginny Weasley's first boyfriend?,Harry Potter
What is the name of the Hufflepuff seeker in Harry's first Quidditch match?,Harry Potter
What is the name of the Ravenclaw seeker in Harry's first Quidditch match?,Harry Potter
What is the name of the Slytherin seeker in Harry's first Quidditch match?,Harry Potter
What is the name of the Hogwarts groundskeeper before Hagrid?,Harry Potter
What is the name of the wizard who heads the Department for the Regulation and Control of Magical Creatures?,Harry Potter
What is the name of the Hogwarts defense against the dark arts professor in Harry's fifth year?,Harry Potter
Who is Harry Potter's godfather?,Harry Potter
What is the name of Harry's owl?,Harry Potter
